throughput_mbps,packet_loss_pct,utilization_pct,snr_db,rsrp_dbm
0.0346,4.7543,0.0,18.65,-96.05
0.0365,3.138,0.0,21.89,-96.0
0.0167,2.824,0.0,21.715,-96.0
0.0167,2.542,0.0,18.8,-95.0
4.1468,1.9251,3.9531,17.695,-95.0
1.7112,1.501,0.7549,22.36,-95.0
6.2418,1.0014,9.0094,20.485,-95.0
1.1478,0.6741,0.9907,21.29,-97.0
0.0178,0.471,0.0472,15.89,-97.0
0.0154,0.694,0.0,13.58,-97.0
0.1227,0.5872,0.0944,22.11,-97.9677
0.0167,0.455,0.0,22.91,-97.0
5.7334,0.4464,9.5472,22.985,-97.0
1.6127,0.913,0.151,19.11,-97.0
7.7512,0.5928,13.4717,19.685,-97.0
6.177,0.3831,11.6322,20.44,-97.0
4.6317,0.2838,9.2547,21.875,-97.0
13.1695,0.1857,27.4055,21.325,-97.0
2.9138,0.1237,2.236,20.595,-97.0
0.3991,0.082,0.2454,21.03,-97.0
2.7954,0.0545,4.0567,22.26,-98.0
0.0167,0.042,0.0,17.19,-98.0
8.089,0.0862,14.3113,18.485,-98.0
5.818,9.3665,14.2265,21.88,-95.48
0.0167,8.175,0.0,15.8,-93.0
0.0167,7.358,0.0,16.0,-90.0
0.0167,6.622,0.0,22.81,-80.23
0.0293,6.5293,0.0,23.77,-79.14
0.0346,5.9242,0.0472,23.145,-78.06
0.0167,5.364,0.0,23.79,-77.0
0.0154,4.827,0.0,19.205,-76.0
0.0167,4.345,0.0,22.56,-76.0
0.0126,4.1014,0.0,59.57,-76.0
0.0167,3.8865,0.0472,58.245,-76.0
0.0119,3.519,0.0,13.285,-76.0
0.0119,3.167,0.0,17.74,-76.8065
0.7871,2.566,0.302,18.99,-76.96
0.0245,1.8721,0.0,23.265,-76.0
0.0119,1.87,0.0,15.7,-76.0
0.0119,1.683,0.0,12.06,-76.0
0.0119,1.515,0.0,14.36,-76.0
0.0119,1.363,0.0,20.0,-76.0
0.0119,1.227,0.0,19.59,-78.0
0.0119,1.227,0.0,20.43,-78.0
0.0238,1.104,0.0,20.025,-78.0
0.0119,0.994,0.0,20.57,-78.0
0.0119,0.895,0.0,20.0,-78.0
0.0154,0.725,0.0,19.56,-77.0
0.0154,0.725,0.0,19.89,-76.0
0.045,0.6468,0.0,21.42,-76.0
0.0154,0.587,0.0,22.0,-76.0
0.0154,0.528,0.0,23.02,-78.0
0.0154,0.475,0.0,22.955,-78.0
0.0154,0.475,0.0,22.08,-78.0
0.028,0.3214,0.0472,21.525,-78.0
4.9954,0.227,8.0,22.39,-76.26
0.0167,0.184,0.0,22.135,-76.0
1.3127,0.142,2.1887,21.945,-75.0
0.0167,0.134,0.0,23.0,-75.0
0.0167,0.109,0.0,22.72,-75.0
0.0334,0.109,0.0,22.385,-75.0
0.0167,0.098,0.0,23.86,-77.0
0.0167,0.088,0.0,23.0,-77.0
0.0167,0.088,0.0,23.0,-77.0
9.1806,5.5866,16.5755,21.89,-75.0
0.0167,4.814,0.0,20.06,-74.0
0.0167,4.814,0.0,20.5,-74.0
0.0167,2.842,0.0,22.5,-78.0
0.0082,3.104,0.0,21.86,-76.0
0.0334,2.794,0.0,22.49,-76.0
0.0167,2.514,0.0,22.0,-76.0
0.0204,4.392,0.0,21.56,-77.0
0.1087,4.0935,0.0,22.0,-77.0
0.0167,3.557,0.0,18.44,-77.0
0.0167,3.557,0.0,20.325,-77.0
10.1722,9.3976,20.0943,25.6,-76.0
0.0167,8.998,0.0,20.865,-76.0
0.0167,8.098,0.0,21.025,-76.0
0.029,3.5595,0.0,22.5,-78.0
0.0167,3.486,0.0,22.0,-78.0
0.0167,1.853,0.0,22.0,-78.0
0.0167,2.801,0.0,21.56,-78.0
0.0318,5.5844,0.0,21.855,-77.0
0.0167,4.96,0.0,21.655,-76.0
0.0167,4.464,0.0,21.385,-76.0
0.0167,4.017,0.0,21.225,-76.0
0.0167,1.135,0.0,21.5,-76.0
0.0178,2.7474,0.0,21.83,-76.0
0.0178,0.344,0.0472,21.0,-76.0
0.0996,7.705,0.1416,18.27,-76.0
0.0154,7.705,0.0,20.2,-76.0
0.0426,6.9581,0.0,23.115,-77.0
0.0154,6.935,0.0,20.23,-77.0
0.0154,6.935,0.0,21.07,-77.0
0.0326,6.853,0.0,22.885,-78.0
0.029,6.2586,0.0,21.7,-78.0
9.2446,14.4018,19.4245,21.765,-75.0
0.0167,5.309,0.0,21.0,-77.0
0.0167,5.309,0.0,20.5,-77.0
0.0293,4.2312,0.0,20.855,-77.0
7.5759,2.4005,16.0944,24.6,-77.0
0.0167,2.301,0.0,21.0,-77.0
0.0167,1.864,0.0,21.485,-77.0
0.0293,1.7331,0.0,19.725,-77.0
0.0167,1.677,0.0,20.475,-77.0
0.0167,1.131,0.0,22.065,-77.0
0.0154,1.018,0.0,18.62,-77.0
0.0154,1.018,0.0,18.62,-77.0
0.0167,4.928,0.0,22.0,-78.0
0.0167,1.064,0.0,22.5,-76.0
0.4007,0.8962,0.302,20.815,-76.0
0.0702,9.0648,0.0472,21.88,-75.0
0.0106,7.57,0.0,19.83,-75.0
0.0106,7.57,0.0,20.69,-75.0
0.028,14.1909,0.0472,40.385,-78.0
0.0167,13.515,0.0,19.455,-78.0
0.0167,12.164,0.0,20.07,-78.0
0.0119,2.271,0.0,21.76,-78.0
0.0119,2.271,0.0,21.78,-78.0
0.023,2.1779,0.0,22.06,-78.0
0.4307,4.6021,0.7264,21.2,-77.0
0.0167,3.462,0.0,20.33,-77.0
0.0132,6.131,0.0,22.84,-76.0
0.0167,2.461,0.0,21.55,-77.0
0.0346,2.279,0.0,22.0,-77.0
1.4618,6.111,2.0,22.075,-77.0
0.1396,5.3295,0.0472,22.625,-77.0
0.0167,4.455,0.0,21.5,-77.0
0.0167,4.01,0.0,22.65,-77.0
0.0167,2.619,0.0,22.38,-77.0
0.0154,10.763,0.0,22.14,-77.0
0.0154,8.718,0.0,22.0,-77.0
0.0167,7.846,0.0,21.69,-77.0
0.0154,1.994,0.0,21.87,-79.0
0.0154,8.688,0.0,22.0,-78.0
0.0204,4.814,0.0,23.365,-78.0
0.0154,4.333,0.0,21.6,-78.0
0.2101,21.9307,0.3113,21.595,-126.0
0.0154,11.013,0.0,19.88,-78.0
0.0154,11.013,0.0,19.64,-78.0
0.0167,9.912,0.0,22.93,-78.0
0.0167,9.912,0.0,21.46,-78.0
4.5638,11.6536,62.7641,19.44,-76.89
4.5849,7.5638,61.5094,19.39,-75.02
7.0681,4.9077,61.2547,20.98,-75.0
13.4024,3.1867,36.4717,21.005,-74.0
11.1568,2.0883,23.5188,19.55,-74.0
3.122,1.574,3.9906,17.865,-74.0
15.3256,1.0441,32.4148,19.47,-74.0
9.039,0.6848,18.9056,19.265,-75.0
19.2574,0.4498,34.2736,20.105,-74.0
0.0061,0.316,0.0,16.08,-74.0
0.7346,0.2224,1.1228,21.615,-77.0
0.0328,0.2043,0.0,22.075,-77.0
0.0167,13.457,0.0,19.5,-77.0
0.0167,13.457,0.0,20.425,-77.0
0.0,11.073,0.0,20.525,-77.0
24.3142,1.5897,41.3585,22.675,-77.0
0.0167,1.417,0.0,20.72,-77.0
0.0167,1.148,0.0,22.0,-77.0
0.0167,1.148,0.0,21.64,-77.0
7.5189,19.1927,57.5094,21.715,-126.0
0.0119,14.806,0.0,18.0,-76.0
0.0119,11.534,0.0,22.44,-77.0
0.0119,11.534,0.0,22.5,-77.0
4.5598,17.3178,60.5094,21.42,-77.0
4.4319,11.1552,60.5094,19.34,-76.0
0.0167,8.392,0.0,18.0,-76.0
0.0182,7.8131,0.0,18.885,-76.0
0.0167,4.014,0.0,20.0,-78.0
0.0221,3.9899,0.0472,20.24,-78.0
0.0182,3.4139,0.0,20.0,-78.0
4.2636,9.3723,58.2547,22.61,-77.0
0.0154,9.605,0.0,19.74,-77.0
0.0061,14.1832,0.0472,21.595,-78.0
0.6318,13.7233,0.0472,21.595,-78.0
4.4823,8.8944,61.5094,21.185,-77.0
2.8458,5.8534,37.3774,19.405,-76.0
0.0086,4.359,0.0,14.85,-74.0
0.6222,6.2461,1.151,18.6,-79.0
0.0655,4.2102,0.0472,22.435,-78.0
0.0154,3.138,0.0,22.185,-78.0
11.8331,2.4429,26.1698,21.15,-79.0
0.0268,1.668,0.0,21.44,-79.0
0.0167,1.668,0.0,20.64,-79.0
4.7296,1.2578,9.2359,21.795,-78.0
0.0167,1.094,0.0,20.535,-77.88
0.0167,1.094,0.0,21.65,-77.0
0.0167,0.886,0.0,23.29,-78.0
3.4513,0.7692,2.5662,21.97,-78.0
0.0167,0.581,0.0,22.41,-78.0
14.4141,0.5185,26.3963,22.39,-77.0
0.0167,0.543,0.0,25.365,-77.0
0.0167,0.44,0.0,34.905,-78.0
0.0167,0.44,0.0,24.42,-80.7634
0.0167,0.396,0.0,18.905,-81.0
0.0167,0.356,0.0,21.5,-80.0
0.0167,0.356,0.0,22.5,-80.0
0.0167,0.289,0.0,22.61,-80.0
0.0167,0.289,0.0,22.965,-80.0
0.0167,0.26,0.0,22.44,-80.0
0.0167,0.234,0.0,22.79,-80.0
0.0309,0.2278,0.0,22.16,-80.0
0.0167,0.189,0.0,22.71,-80.0
0.0167,0.189,0.0,23.0,-80.0
0.0167,0.17,0.0,22.28,-80.0
0.0167,0.153,0.0,22.5,-80.0
0.0309,0.1422,0.0,21.25,-80.0
0.0154,0.124,0.0,17.68,-80.0
0.0154,0.124,0.0,17.84,-80.0
0.0154,0.112,0.0,17.74,-80.0
0.0167,0.101,0.0,20.425,-80.0
0.0167,0.091,0.0,21.175,-80.0
0.0167,0.081,0.0,23.295,-80.0
0.0333,0.0718,0.0472,21.085,-80.0
0.0167,0.148,0.0,21.13,-79.0
0.0167,0.133,0.0,25.245,-78.0
0.0167,0.12,0.0,21.22,-77.0
0.0167,0.108,0.0,17.27,-77.0
0.0167,0.108,0.0,20.265,-76.0
0.0167,0.097,0.0,23.0,-77.95
0.0167,0.087,0.0,22.665,-78.0
0.0167,0.079,0.0,23.615,-77.5914
0.0167,0.071,0.0,23.155,-76.0
0.0309,0.0676,0.0,22.285,-76.0
0.0167,0.064,0.0,22.46,-76.0
0.0167,0.057,0.0,21.635,-75.0
0.0167,0.052,0.0,22.36,-75.0
0.0167,0.046,0.0,21.74,-75.0
0.0167,0.042,0.0,22.57,-75.0
0.0334,0.042,0.0,22.485,-75.0
0.0167,0.038,0.0,22.0,-75.0
11.1773,0.0317,17.6227,22.035,-75.0
0.0154,0.025,0.0,11.125,-75.0
0.0154,0.022,0.0,11.765,-75.0
