throughput_mbps,packet_loss_pct,utilization_pct,snr_db,rsrp_dbm
0.0874,6.561,0.4151,21.375,-104.0
35.6797,0.9207,62.5094,20.775,-104.0
35.293,0.0048,59.5094,20.47,-105.0
36.8751,0.0,62.0188,20.86,-104.0
36.1356,0.4749,60.7641,20.615,-105.0
35.1333,0.0085,57.7641,20.85,-104.0
36.1596,0.4254,62.7641,20.525,-107.0
34.9496,0.1327,58.5094,21.28,-104.0
36.114,0.001,60.5094,20.01,-104.0
34.8719,0.0,59.0188,19.625,-105.0
35.158,0.0,60.0188,20.25,-104.0
35.541,0.0,60.7641,20.715,-104.0
35.6976,0.0,60.5094,19.885,-104.0
36.044,0.0,61.7641,21.39,-104.0
35.5215,0.0,59.5094,20.745,-104.0
35.6326,0.0,60.5094,21.78,-104.0
0.0167,0.275,0.0,20.185,-104.0
0.0167,0.096,0.0,23.12,-104.0
0.0167,0.033,0.0,22.0,-104.0
0.0167,0.012,0.0,23.0,-104.0
0.0167,0.002,0.0,22.44,-104.0
0.0167,0.001,0.0,21.5,-104.0
0.0167,0.001,0.0,21.935,-104.0
0.0167,0.0,0.0,21.545,-104.0
0.0334,0.0,0.0,23.995,-104.0
0.0167,0.0,0.0,21.18,-104.0
0.0346,0.0,0.0472,21.5,-104.0
0.0167,0.0,0.0,20.235,-104.0
0.0167,0.0,0.0,21.25,-105.0
0.0178,0.0,0.0472,22.5,-104.0
0.0167,0.0,0.0,22.12,-105.0
0.0167,0.0,0.0,23.78,-105.0
0.0167,0.0,0.0,21.595,-105.0
0.0167,0.0,0.0,20.7,-104.0
0.0167,0.0,0.0,20.5,-104.0
0.0167,0.0,0.0,21.955,-105.0
0.0167,0.0,0.0,21.525,-104.0
0.0167,0.0,0.0,22.0,-104.0
0.0167,0.0,0.0,22.37,-104.0
0.0309,0.0,0.0,23.5,-105.0
0.0167,0.0,0.0,17.405,-105.0
0.0167,0.0,0.0,22.45,-105.0
0.0309,0.0,0.0472,22.22,-105.0
0.0167,0.0,0.0,22.78,-105.0
0.0846,4.9848,0.2076,20.83,-103.0
0.0309,0.4001,0.0,20.5,-104.0
0.0309,0.1416,0.0472,22.15,-104.0
0.0167,0.042,0.0,22.78,-103.0
0.0167,0.015,0.0,20.83,-102.0
0.0167,0.004,0.0,21.5,-102.0
0.0309,0.001,0.0,21.69,-102.0
0.0309,0.0,0.0472,20.24,-102.0
0.032,0.0,0.0472,22.88,-102.0
0.0309,0.0,0.0472,22.0,-102.0
0.0309,0.0,0.0472,21.5,-102.0
0.0309,0.0,0.0,21.38,-102.0
0.0167,0.0,0.0,22.55,-102.0
0.0167,0.0,0.0,20.645,-102.0
0.0167,0.0,0.0,19.3,-102.0
0.0154,0.0,0.0,20.72,-102.0
0.0167,0.0,0.0,23.13,-102.0
0.0333,0.0,0.0,21.325,-102.0
0.0167,0.0,0.0,22.76,-102.0
0.0167,0.0,0.0,23.095,-102.0
0.0154,0.0,0.0,15.52,-102.0
0.0167,0.0,0.0,22.16,-102.0
0.0167,0.0,0.0,22.75,-102.0
0.0167,0.0,0.0,21.32,-102.0
0.0178,0.0,0.0472,22.67,-102.0
0.0167,0.0,0.0,21.085,-102.0
0.0167,0.0,0.0,21.0,-102.0
0.0178,0.0,0.0472,21.5,-103.0
0.0167,0.0,0.0,22.735,-103.0
0.0167,0.0,0.0,20.87,-102.0
0.0167,0.0,0.0,22.5,-102.0
0.0167,0.0,0.0,22.32,-102.0
0.0346,0.0,0.0472,21.38,-103.0
0.0167,0.0,0.0,20.465,-102.0
0.0167,0.0,0.0,19.425,-102.0
0.0154,0.0,0.0,21.805,-102.0
18.0753,0.0,30.3113,20.405,-102.0
0.0167,0.0,0.0,17.135,-102.0
0.0322,0.0,0.0,21.34,-102.0
0.0167,0.0,0.0,22.69,-102.0
0.0333,0.0,0.0472,20.125,-102.0
0.0167,0.0,0.0,22.145,-102.0
0.0154,0.0,0.0,19.96,-102.0
0.0167,0.0,0.0,22.595,-102.0
0.0167,0.0,0.0,17.835,-102.0
0.0154,0.0,0.0,21.07,-102.0
0.0167,0.0,0.0,22.925,-102.0
0.0167,0.0,0.0,22.43,-102.0
0.0167,0.0,0.0,22.16,-102.0
0.0167,0.0,0.0,22.52,-102.0
0.0167,0.0,0.0,21.49,-102.0
0.0167,0.0,0.0,22.105,-102.0
0.0167,0.0,0.0,23.36,-102.0
23.7992,0.0,42.0,22.295,-102.0
0.0167,0.0,0.0,21.76,-102.0
0.0167,0.0,0.0,22.5,-102.0
0.0154,0.0,0.0,17.08,-102.0
0.0154,0.0,0.0,16.775,-102.0
0.0167,0.0,0.0,22.73,-103.0
0.0167,0.0,0.0,23.24,-102.0
0.0167,0.0,0.0,22.36,-102.0
0.0154,0.0,0.0,16.185,-102.0
0.0167,0.0,0.0,21.805,-103.0
0.0167,0.0,0.0,22.92,-103.0
0.0167,0.0,0.0,22.825,-103.0
0.0167,0.0,0.0,22.96,-103.0
0.0167,0.0,0.0,15.44,-103.0
0.0167,0.0,0.0,22.63,-103.0
0.0167,0.0,0.0,23.27,-104.0
0.0167,0.0,0.0,17.93,-103.0
0.0178,0.0,0.0,21.44,-103.0
0.0167,0.0,0.0,22.8,-103.0
0.0154,0.0,0.0,18.25,-104.0
0.0167,0.0,0.0,20.71,-104.0
0.0167,0.0,0.0,22.555,-105.0
0.0167,0.0,0.0,22.765,-104.0
0.0167,0.0,0.0,22.5,-104.0
0.0167,0.0,0.0,22.09,-104.0
0.0346,0.0,0.0472,23.7,-103.0
0.0167,0.0,0.0,22.76,-104.0
0.0167,0.0,0.0,16.515,-104.0
0.0154,0.0,0.0,21.36,-103.0
0.0167,0.0,0.0,22.63,-103.0
0.0167,0.0,0.0,19.81,-104.0
0.0154,0.0,0.0,20.325,-104.0
0.0334,0.0,0.0,22.52,-104.0
0.0333,0.0,0.0,19.81,-104.0
0.0167,0.0,0.0,21.5,-104.0
0.0154,0.0,0.0,17.24,-104.0
0.0167,0.0,0.0,22.23,-103.0
0.0167,0.0,0.0,21.905,-104.0
0.0167,0.0,0.0,22.06,-103.0
0.0167,0.0,0.0,20.225,-103.0
