throughput_mbps,packet_loss_pct,utilization_pct,snr_db,rsrp_dbm
1.2505,7.3184,0.7265,19.245,-108.0
0.0286,5.6479,0.0472,22.645,-108.08
0.0261,4.934,0.0472,21.705,-109.07
0.0106,4.302,0.0,20.8,-108.8
0.0106,4.302,0.0,16.7,-108.0
0.2859,3.4815,0.8019,21.655,-105.0
1.9564,2.2792,3.104,19.275,-105.0
2.7906,1.4925,4.5849,19.0,-105.0
35.7484,0.9752,59.5094,19.48,-105.49
9.0919,2.4541,16.7925,24.32,-105.0
0.8347,22.2336,0.2925,17.49,-106.0
7.6305,28.4112,14.5754,18.985,-110.0
5.9436,22.4544,13.5755,20.48,-110.0
6.604,39.8728,15.0,18.335,-111.0
9.0269,55.5094,16.5,20.96,-111.9785
1.1902,43.1476,3.1416,19.855,-112.0
8.6811,28.7972,18.8301,21.335,-111.0
6.8454,19.5553,12.6603,20.935,-110.6667
6.3083,12.9093,15.2075,20.96,-109.0
6.9591,8.4697,12.5848,19.425,-109.0
20.7195,5.6194,41.1697,20.185,-109.0
9.3217,3.687,16.7265,22.735,-110.0
3.4463,2.4712,5.7549,19.125,-110.0
5.7926,1.6336,13.1039,19.36,-110.0
4.1203,0.9892,8.5097,21.755,-111.0
5.2967,6.4947,9.7644,17.76,-111.0
6.5202,37.8682,11.3868,18.025,-111.0
5.7307,63.1297,10.7924,18.475,-110.0
7.3132,75.9483,15.6509,18.475,-110.0
3.2492,85.464,5.2359,20.53,-110.0
0.0112,10.0,0.0,21.845,-103.47
0.0085,9.315,0.0,20.325,-102.0
0.5136,7.2057,8.5754,22.685,-102.0
0.3873,4.856,0.6132,21.825,-102.0
0.5322,3.2624,2.1416,19.7,-103.0
0.0167,2.368,0.0,20.845,-102.0
0.0154,2.131,0.0,23.1,-102.0
0.0167,1.918,0.0,18.83,-103.0
0.3444,1.398,0.0944,20.89,-103.0
9.361,0.9864,16.8491,21.59,-103.6742
7.5478,0.6422,40.7641,21.795,-104.0
35.6085,0.4174,56.4337,19.3,-104.0
9.0123,0.2712,40.5094,19.805,-104.1573
8.2566,0.1763,40.5094,21.785,-106.0
8.5806,0.1148,39.0,20.18,-105.0
8.9311,0.0741,41.2547,20.825,-105.0
36.457,0.0482,59.3206,18.76,-104.0
8.9006,0.0308,42.7641,22.105,-104.0
8.3745,0.0207,40.5094,19.345,-104.0
8.4273,0.0135,36.7641,20.725,-104.0
8.7438,0.0087,36.5094,21.81,-104.0
8.1947,14.6846,15.9528,22.905,-104.0
10.0625,40.6961,36.9153,19.385,-103.0
7.87,26.4754,42.9624,19.15,-103.0
7.5356,17.204,40.5094,20.8,-103.0
7.7202,11.1779,41.5094,19.7,-104.0
7.7419,7.2705,40.5094,19.72,-104.0
9.6694,4.7281,41.538,20.425,-104.0
7.7314,3.0665,35.5094,20.26,-104.0
8.7128,1.9937,46.5094,18.545,-104.0
8.3916,1.2961,42.5094,23.05,-104.0
8.8029,0.8414,40.7641,21.555,-105.0
7.2994,0.5475,38.0188,19.875,-105.0
8.5842,0.3561,44.7641,18.025,-105.0
8.5512,0.2312,40.0188,19.29,-105.0
8.977,0.1501,41.7641,20.735,-105.0
18.7967,0.0975,46.6792,21.67,-104.0
7.3998,0.064,34.7641,21.705,-104.0
8.6783,0.0413,42.5094,22.765,-104.0
8.6453,0.0269,39.7641,20.445,-104.0
8.2525,0.0178,44.5094,22.98,-104.0
33.0028,0.0116,55.9339,19.565,-104.0
27.3582,0.0077,47.887,21.065,-104.0
23.2956,0.0046,43.7834,19.895,-104.0
24.949,0.003,55.2264,19.775,-104.0
22.083,0.002,41.1417,19.695,-104.0
