throughput_mbps,packet_loss_pct,utilization_pct,snr_db,rsrp_dbm
0.0261,4.8785,0.0472,18.2,-108.0
8.2015,17.6346,15.7359,19.97,-114.0
5.5219,97.5135,12.9999,19.855,-114.0
8.1738,100.0,14.7736,19.52,-114.0
5.2876,3.092,7.9152,21.5,-115.0
6.374,98.1909,14.4622,15.915,-113.0
4.9738,100.0,13.9907,21.445,-108.71
6.529,11.183,11.8397,20.75,-113.0
6.3287,0.0737,13.6886,20.82,-114.0
2.6266,0.001,3.7736,19.845,-113.0
8.4554,97.551,16.0,20.795,-113.0
6.3667,100.0,15.0,33.205,-113.0
9.0228,100.0,16.2547,20.43,-113.0
3.4358,100.0,7.1793,20.18,-113.0
3.8412,99.4752,12.0095,21.945,-113.0
9.0998,100.0,15.0,33.98,-113.0
7.7197,99.046,14.0,20.255,-113.0
7.7887,99.4682,14.0,22.1,-113.0
7.8122,100.0,15.0,20.695,-113.0
7.7942,100.0,13.0,19.375,-113.0
8.2708,99.4813,15.1603,21.89,-113.0
5.9322,100.0,7.9434,21.505,-113.0
7.7945,100.0,12.0,21.185,-113.0
8.0802,100.0,16.8491,20.13,-113.0
5.4374,99.5156,10.1132,21.04,-113.0
8.0734,100.0,15.0,19.46,-113.0
2.7886,99.4675,6.6227,17.0,-113.0
8.3759,99.1462,15.0,19.03,-113.0
8.3758,100.0,18.0,20.665,-113.0
5.0926,99.7852,12.5661,19.97,-113.0
8.257,100.0,17.0,31.5,-113.0
8.4798,100.0,19.5472,21.375,-113.0
8.0431,100.0,16.0,19.845,-113.0
8.8945,98.4754,18.0,20.82,-113.0
7.6079,100.0,17.0755,22.5,-113.0
8.1703,100.0,13.0,20.805,-113.0
7.9824,100.0,12.4529,20.885,-113.0
7.8312,100.0,15.0,19.185,-113.0
6.2928,100.0,13.4246,33.15,-113.0
9.3422,100.0,20.0,22.275,-113.0
6.122,3.3153,13.3301,21.215,-113.0
3.1603,0.4188,5.6793,18.865,-113.0
2.2226,0.0067,2.3019,22.355,-113.0
6.0656,0.0405,11.5566,21.115,-114.0
1.8538,0.0,3.0,19.99,-114.0
5.6454,0.0,13.0094,21.88,-114.0
4.3529,0.0,10.8396,20.28,-114.0
8.8282,0.0,17.1414,20.595,-113.0
3.9176,0.0,6.0849,23.06,-114.0
7.6585,0.0,18.7169,21.11,-113.0
13.9918,0.0,25.4056,19.65,-113.0
5.8731,0.0,11.6698,21.075,-114.0
6.5558,0.0,15.1227,20.925,-114.0
6.0634,0.0,16.7073,21.93,-114.0
3.3626,0.0,7.0566,21.065,-114.0
5.8628,0.0,13.7924,20.5,-114.0
6.4615,0.0,9.8586,19.605,-113.0
3.9898,0.1225,9.8397,19.18,-113.0
15.9805,0.001,43.9997,21.34,-114.0
6.6531,0.333,14.3773,21.71,-114.0
3.1255,0.002,7.4718,21.3,-114.0
6.53,0.0,13.0754,21.165,-114.0
14.9862,0.0,24.4904,20.495,-114.0
5.6458,0.0,13.4906,21.175,-114.0
21.6954,0.0,43.1977,21.785,-113.0
6.7614,0.0,16.849,19.32,-113.0
4.2043,0.0,13.698,21.375,-113.0
6.3864,0.0,14.3677,19.64,-113.0
6.0887,0.0,9.67,21.59,-113.0
5.7193,2.2038,13.4715,20.355,-113.0
19.7158,0.0151,46.3298,20.835,-113.0
5.6514,0.0,13.3205,20.78,-113.0
17.1784,0.0,37.9618,22.71,-114.0
9.4726,0.0,21.9716,22.28,-113.0
5.5066,0.0,13.0942,20.01,-113.0
7.4162,0.0,18.0095,21.82,-113.0
4.5564,0.0,11.0282,19.665,-113.0
6.7316,1.6008,13.0376,19.92,-113.0
12.5801,0.0831,24.783,22.695,-113.0
5.6908,0.001,10.1602,19.87,-113.0
14.3614,0.0,29.528,20.665,-113.0
6.0187,0.0,10.4151,20.105,-113.0
13.053,0.0,29.1223,22.205,-113.0
9.3302,0.0,23.302,22.325,-113.0
5.3764,0.0,9.6793,21.015,-113.0
5.2626,0.0,11.3489,20.75,-113.0
4.8385,0.0,18.0375,22.765,-113.0
6.5587,0.0,14.783,19.96,-113.0
15.2563,0.0,34.2069,21.965,-113.0
5.7543,0.0,13.5944,22.125,-113.0
13.1295,0.0,22.4903,23.125,-113.0
